pl_hostname,pl_name,pl_disc,pl_kepflag,pl_locale,pl_discmethod,pl_facility,pl_pnum,pl_orbper,st_dist,st_age,pl_masse,pl_rade,pl_bmassj,pl_radj,pl_dens,st_mass,st_rad,st_dens
Kepler-182,Kepler-182 b,2014,1,Space,Transit,Kepler,2,9.825792,1409,,,2.58,,0.23,,,1.15,
Kepler-182,Kepler-182 c,2014,1,Space,Transit,Kepler,2,20.684342,1409,,,3.43,,0.306,,,1.15,
Kepler-183,Kepler-183 b,2014,1,Space,Transit,Kepler,2,5.687945,1015,,,2.06,,0.184,,,0.96,
Kepler-183,Kepler-183 c,2014,1,Space,Transit,Kepler,2,11.637071,1015,,,2.27,,0.203,,,0.96,
Kepler-184,Kepler-184 b,2014,1,Space,Transit,Kepler,3,10.687576,716,,,2.36,,0.211,,,0.87,
Kepler-184,Kepler-184 c,2014,1,Space,Transit,Kepler,3,20.303005,716,,,1.97,,0.176,,,0.87,
Kepler-184,Kepler-184 d,2014,1,Space,Transit,Kepler,3,29.022358,716,,,2.49,,0.222,,,0.87,
Kepler-185,Kepler-185 b,2014,1,Space,Transit,Kepler,2,1.6329,511,,,1.17,,0.104,,,0.81,
Kepler-185,Kepler-185 c,2014,1,Space,Transit,Kepler,2,20.729042,511,,,2.02,,0.18,,,0.81,
Kepler-186,Kepler-186 b,2014,1,Space,Transit,Kepler,5,3.8867907,172,4,,1.07,,0.095,,0.54,0.52,5.29
Kepler-186,Kepler-186 c,2014,1,Space,Transit,Kepler,5,7.267302,172,4,,1.25,,0.112,,0.54,0.52,5.29
Kepler-186,Kepler-186 d,2014,1,Space,Transit,Kepler,5,13.342996,172,4,,1.4,,0.125,,0.54,0.52,5.29
Kepler-186,Kepler-186 e,2014,1,Space,Transit,Kepler,5,22.407704,172,4,,1.27,,0.113,,0.54,0.52,5.29
Kepler-186,Kepler-186 f,2014,1,Space,Transit,Kepler,5,129.9441,172,4,,1.17,,0.104,,0.54,0.52,5.29
Kepler-187,Kepler-187 b,2014,1,Space,Transit,Kepler,2,4.938864,867,,,1.41,,0.126,,,1.29,
Kepler-187,Kepler-187 c,2014,1,Space,Transit,Kepler,2,10.640263,867,,,2.67,,0.238,,,1.29,
Kepler-188,Kepler-188 b,2014,1,Space,Transit,Kepler,2,2.061897,896,,,1.68,,0.15,,,1.14,
Kepler-188,Kepler-188 c,2014,1,Space,Transit,Kepler,2,5.996553,896,,,3.19,,0.285,,,1.14,
Kepler-189,Kepler-189 b,2014,1,Space,Transit,Kepler,2,10.399931,618,,,1.21,,0.108,,,0.75,
Kepler-189,Kepler-189 c,2014,1,Space,Transit,Kepler,2,20.134866,618,,,2.38,,0.212,,,0.75,
Kepler-19,Kepler-19 b,2011,1,Space,Transit,Kepler,3,9.28716,2119,1.9,8.4,,0.02643,,,0.94,0.86,
Kepler-19,Kepler-19 c,2011,1,Space,Transit Timing Variations,Kepler,3,28.731,2119,1.9,13.1,,0.04122,,,0.94,0.86,
Kepler-19,Kepler-19 d,2017,1,Ground,Radial Velocity,Roque de los Muchachos Observatory,3,62.95,2119,1.9,22.5,,0.07079,,,0.94,0.86,
Kepler-190,Kepler-190 b,2014,1,Space,Transit,Kepler,2,2.019999,455,,,1.56,,0.139,,,0.8,
Kepler-190,Kepler-190 c,2014,1,Space,Transit,Kepler,2,3.763024,455,,,1.46,,0.13,,,0.8,
Kepler-191,Kepler-191 b,2014,1,Space,Transit,Kepler,3,9.939632,626,,,1.34,,0.12,,,0.79,
Kepler-191,Kepler-191 c,2014,1,Space,Transit,Kepler,3,17.738506,626,,,1.86,,0.166,,,0.79,
Kepler-191,Kepler-191 d,2016,1,Space,Transit,Kepler,3,5.94504102,626,,,2.28,,0.203,,,0.79,
Kepler-192,Kepler-192 b,2014,1,Space,Transit,Kepler,3,9.926746,616,,,2.74,,0.244,,,1.01,
Kepler-192,Kepler-192 c,2014,1,Space,Transit,Kepler,3,21.2234,616,,,2.79,,0.249,,,1.01,
Kepler-192,Kepler-192 d,2016,1,Space,Transit,Kepler,3,6.47027579,616,,,1.02,,0.091,,,1.01,
Kepler-193,Kepler-193 b,2014,1,Space,Transit,Kepler,2,11.38848,1196,,,2.39,,0.213,,,1.15,
Kepler-193,Kepler-193 c,2014,1,Space,Transit,Kepler,2,50.697494,1196,,,2.75,,0.245,,,1.15,
Kepler-194,Kepler-194 b,2014,1,Space,Transit,Kepler,3,2.092281,1218,,,1.51,,0.135,,,1.02,
Kepler-194,Kepler-194 c,2014,1,Space,Transit,Kepler,3,17.308032,1218,,,2.59,,0.231,,,1.02,
Kepler-194,Kepler-194 d,2014,1,Space,Transit,Kepler,3,52.814973,1218,,,2.4,,0.214,,,1.02,
Kepler-195,Kepler-195 b,2014,1,Space,Transit,Kepler,2,8.307872,649,,,2.03,,0.181,,,0.78,
Kepler-195,Kepler-195 c,2014,1,Space,Transit,Kepler,2,34.096863,649,,,1.55,,0.138,,,0.78,
Kepler-196,Kepler-196 b,2014,1,Space,Transit,Kepler,2,20.739886,452,,,1.9,,0.17,,,0.78,
Kepler-196,Kepler-196 c,2014,1,Space,Transit,Kepler,2,47.427737,452,,,2.24,,0.2,,,0.78,
